 written on 15Apr2025 at 13:40:09 
  -2.7218511831824337        0.0000000000000000        2.7218511831824337     
   0.0000000000000000        2.7218511831824337        2.7218511831824337     
  -2.7218511831824337        2.7218511831824337        0.0000000000000000     
           8
         279
    3    2    2    3    2    3    6    2    2    2    1    2    2    1    1
    2    2    1    1    1    2    2    1    1    1    1    2    6    2    2
    2    2    2    6    2    2    3    1    1    1    3    2    1    1    1
    1    2    3    1    1    1    1    1    3    1    1    1    1    1    1
    2    1    1    1    1    1    2    2    1    1    1    1    2    3    2
    3    2    1    2    2    1    1    1    1    2    2    1    1    1    1
    1    2    1    1    1    1    1    1    2    1    1    1    1    1    2
    1    1    1    1    1    1    2    1    1    1    2    2    2    3    2
    1    1    2    3    1    1    1    1    1    3    1    1    1    1    1
    1    2    1    1    1    1    1    2    1    1    1    1    1    1    3
    1    1    1    1    1    3    2    1    1    2    3    2    2    2    1
    1    1    2    1    1    1    1    1    1    2    1    1    1    1    1
    2    1    1    1    1    1    1    2    1    1    1    1    1    2    2
    1    1    1    1    2    2    1    2    3    2    3    2    1    1    1
    1    2    2    1    1    1    1    1    2    1    1    1    1    1    1
    3    1    1    1    1    1    3    2    1    1    1    1    2    3    1
    1    1    3    2    2    6    2    2    2    2    2    6    2    1    1
    1    1    2    2    1    1    1    2    2    1    1    2    2    1    2
    2    2    6    3    2    3    2    2    3

   -4    0    2
    3    6    0.39251442E-02 -0.15589148E-10
    4    6   -0.11081848E-02  0.83856517E-10
    5    6    0.15895731E-02  0.13208094E-09
    6    6   -0.33749327E-02 -0.66998098E-10
    7    6   -0.62563186E-02 -0.29907761E-09
    8    6    0.18948370E-02 -0.21086150E-10
    1    7   -0.99398914E-02 -0.48723673E-10
    2    7   -0.18634274E-02  0.91619050E-10
    3    7    0.31638218E-02  0.87968750E-10
    4    7   -0.97543084E-02  0.48889595E-10
    5    7    0.60338109E-02 -0.22979039E-09
    6    7    0.59946627E-02  0.19182322E-09
    7    7    0.35135934E-02 -0.89719527E-10
    8    7    0.58623605E-02 -0.14450071E-09
    1    8   -0.12645016E-01 -0.48355783E-09
    2    8    0.89734841E-02  0.41217803E-09
    3    8    0.68915228E-02  0.25219451E-09
    4    8    0.10888637E-01 -0.48885561E-10
    5    8    0.16257308E-02  0.12527691E-09
    6    8    0.15709476E-02  0.26553980E-10
    7    8   -0.61917628E-02 -0.45460744E-09
    8    8   -0.33447589E-02  0.10520641E-09

   -4    2    1
    1    1   -0.63215686E-02  0.36070473E-10
    2    1   -0.11968845E-02 -0.14998794E-09
    3    1   -0.12143382E-02  0.12860197E-10
    4    1    0.91968648E-02 -0.56369502E-09
    5    1    0.23550845E-02 -0.35287525E-09
    6    1   -0.34946042E-02  0.34852060E-09
    7    1    0.17335007E-02  0.10229651E-09
    8    1   -0.34896514E-02  0.53483553E-09
    1    2    0.93511784E-02 -0.39670899E-09
    2    2    0.83131395E-02  0.10182344E-09
    3    2   -0.16736012E-01  0.15771059E-09
    4    2    0.93579258E-02 -0.32316781E-09
    5    2   -0.34827957E-02 -0.18402342E-09
    6    2    0.23299954E-02 -0.12444113E-09
    7    2    0.17702566E-02  0.27914509E-09
    8    2   -0.34915146E-02  0.27536588E-09
    1    3    0.93694938E-02 -0.69614045E-10
    2    3   -0.16737639E-01 -0.14334291E-09
    3    3    0.82991961E-02 -0.10036022E-09
    4    3    0.93762412E-02  0.42666102E-10
    5    3   -0.96398993E-02 -0.56658910E-10
    6    3   -0.96086964E-02 -0.48268204E-09
    7    3    0.54863495E-02 -0.43511793E-09
    8    3   -0.95986660E-02  0.21670478E-11
    1    4    0.92992482E-02  0.60361952E-09
    2    4   -0.12775226E-02 -0.11878505E-09
    3    4   -0.12949764E-02  0.78449987E-10
    4    4   -0.63304041E-02 -0.51503600E-10
    5    4   -0.34802922E-02 -0.37964803E-09
    6    4   -0.34883178E-02 -0.11533908E-09
    7    4    0.17828645E-02  0.42776156E-09
    8    4    0.23209987E-02  0.97223940E-10
    1    5    0.10800032E-01  0.76847246E-10
    2    5    0.65634124E-02  0.14290131E-09
    3    5    0.92540745E-02  0.12880160E-09
    4    5   -0.12758226E-01  0.27408737E-09
    5    5   -0.10500894E-01 -0.80810338E-10
    6    5   -0.48772135E-03 -0.75809040E-10
    7    5   -0.47812350E-03  0.41782054E-10
    8    5    0.36034707E-02 -0.15946591E-09
    1    6   -0.99344994E-02  0.33678550E-09
    2    6    0.31698325E-02 -0.10732897E-09
    3    6   -0.18459003E-02  0.15672710E-10
    4    6   -0.97489164E-02  0.38579266E-09
    5    6    0.91722685E-02 -0.49059534E-09
    6    6    0.13499799E-01  0.11979605E-10
    7    6   -0.11729584E-01  0.17321666E-09
    8    6    0.91126204E-02 -0.28811509E-09
    1    7   -0.72489840E-03  0.41066456E-11
    2    7    0.39138052E-02 -0.13792293E-09
    3    7   -0.75116898E-02  0.27133569E-09
    4    7   -0.11169890E-02 -0.19168259E-09
    5    7    0.91777102E-02 -0.90613987E-10
    6    7   -0.11690968E-01 -0.20720457E-09
    7    7    0.13498825E-01  0.50193103E-10
    8    7    0.91180622E-02 -0.14746539E-10
    1    8   -0.12644090E-01 -0.51324495E-09
    2    8    0.68782664E-02  0.30755173E-09
    3    8    0.89875770E-02  0.22404305E-09
    4    8    0.10888434E-01 -0.39792667E-10
    5    8    0.35038718E-02  0.17037967E-09
    6    8   -0.43292883E-03 -0.18337263E-09
    7    8   -0.42333096E-03  0.10624732E-09
    8    8   -0.10425001E-01  0.66482271E-10

   -4    2    2
    1    1   -0.29265644E-02 -0.14385180E-10
    2    1   -0.69279163E-02  0.12324723E-09
    3    1    0.26080314E-02 -0.10370377E-09
    4    1    0.27500859E-02 -0.26980451E-09
    5    1    0.23416594E-02 -0.38335076E-09
    6    1    0.17397274E-02 -0.35757872E-09
    7    1   -0.34879313E-02 -0.82175577E-10
    8    1   -0.34959569E-02  0.52298626E-09
    1    2    0.41514074E-02  0.20280417E-10
    2    2    0.24725473E-02 -0.21528692E-10
    3    2    0.43198330E-02 -0.20876783E-10
    4    2    0.44719808E-02 -0.17575863E-09
    5    2   -0.96248115E-02  0.36305101E-09
    6    2    0.54651920E-02  0.14918371E-09
    7    2   -0.96147812E-02  0.54337152E-09
    8    2   -0.95835782E-02  0.47629288E-09
    1    3    0.27354985E-02  0.12566451E-09
    2    3   -0.71552321E-02 -0.12061768E-10
    3    3   -0.29003012E-02  0.37971463E-10
    4    3    0.26148476E-02 -0.15990776E-09
    5    3   -0.34847345E-02 -0.88983198E-10
    6    3    0.17523353E-02 -0.14060801E-09
    7    3    0.23326628E-02  0.46601287E-09
    8    3   -0.34934533E-02  0.41165361E-09
    1    4    0.25692769E-02  0.20574955E-09
    2    4   -0.73064074E-02 -0.21264123E-09
    3    4    0.26989871E-02  0.11976117E-09
    4    4   -0.28929764E-02 -0.53200576E-10
    5    4   -0.34865976E-02 -0.40865158E-09
    6    4    0.17890912E-02 -0.70256267E-10
    7    4   -0.34816450E-02 -0.54278851E-09
    8    4    0.23075736E-02  0.15851527E-09
    1    5    0.46096628E-02  0.43165519E-09
    2    5   -0.38958812E-02 -0.11684324E-09
    3    5    0.20209659E-02  0.14061644E-10
    4    5    0.19919443E-02  0.78861055E-10
    5    5   -0.33939066E-02 -0.20249601E-10
    6    5   -0.62913453E-02 -0.22985837E-10
    7    5    0.19095830E-02  0.12033819E-09
    8    5    0.18547998E-02 -0.14713662E-09
    1    6   -0.56111751E-02 -0.14392888E-10
    2    6    0.17403556E-01  0.17504393E-09
    3    6   -0.55683309E-02 -0.46805766E-10
    4    6   -0.55972211E-02  0.26291854E-09
    5    6    0.60566177E-02 -0.25333574E-09
    6    6    0.35175651E-02  0.21961651E-09
    7    6    0.59243156E-02 -0.58364046E-10
    8    6    0.58851673E-02 -0.16089512E-09
    1    7    0.20261641E-02 -0.34030334E-10
    2    7   -0.38495674E-02 -0.21959943E-09
    3    7    0.46176545E-02 -0.45329263E-09
    4    7    0.19468160E-02  0.25010477E-09
