2025/05/08 at 10:33:05
   3.3200048889728007        0.0000000000000000        0.0000000000000000     
  -1.6600024444864003        2.8752085745389802        0.0000000000000000     
   0.0000000000000000        0.0000000000000000        26.560039111782405     
          11
          85
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1

    0    0    0
   10    4    0.44939139E-01  0.93642375E-14
   11    4   -0.16892686E-01 -0.16438134E-14
    1    5    0.23751416E-15 -0.22408635E-15
    2    5   -0.16882059E-15  0.14871016E-15
    3    5   -0.71067464E+00 -0.24529084E-13
    4    5   -0.44297659E+00  0.18339589E-13
    5    5    0.11970685E+00  0.18976991E-13
    6    5   -0.57380100E-01  0.73325377E-14
    7    5    0.37721777E-01  0.37164975E-14
    8    5    0.32586720E-02 -0.11838110E-13
    9    5    0.57380100E-01 -0.12824183E-13
   10    5    0.37721777E-01  0.77816848E-14
   11    5    0.32586720E-02 -0.19824193E-13
    1    6    0.12146064E-14 -0.69992889E-14
    2    6    0.11697788E+01  0.16368649E-12
    3    6    0.27944124E-13  0.12474299E-13
    4    6    0.65374765E+00  0.70447290E-13
    5    6    0.68774324E+00  0.52213198E-13
    6    6   -0.28795817E+00  0.45601581E-13
    7    6    0.10956629E+00  0.35237460E-13
    8    6   -0.33954593E-01 -0.33118199E-13
    9    6    0.14747892E-01 -0.18067163E-13
   10    6    0.35005371E-01  0.12649699E-13
   11    6   -0.14322255E+00 -0.14165384E-14
    1    7    0.56009181E+00  0.69890563E-13
    2    7   -0.14412737E-12  0.67035375E-14
    3    7   -0.10615906E+01 -0.11364826E-12
    4    7   -0.27358645E-13  0.72388652E-14
    5    7   -0.59172091E-15  0.20252462E-14
    6    7    0.25377297E-01  0.10363980E-13
    7    7    0.23689824E+00 -0.40379586E-14
    8    7   -0.42872584E+00 -0.44358170E-14
    9    7    0.10653211E+00  0.92164714E-14
   10    7    0.96940256E-01  0.57148096E-14
   11    7    0.49394288E-01 -0.43565229E-14
    1    8    0.95069266E-13  0.20082295E-13
    2    8   -0.16814109E+01 -0.69453475E-13
    3    8   -0.91251112E-14  0.89015685E-15
    4    8    0.68262835E+00  0.91777082E-14
    5    8   -0.56994087E+00 -0.15227827E-13
    6    8    0.11186440E+00 -0.58114291E-13
    7    8   -0.62297523E+00  0.74182753E-14
    8    8    0.84409762E+00 -0.32361755E-15
    9    8   -0.10192694E+00  0.44056668E-14
   10    8    0.34396458E-01 -0.85221225E-14
   11    8    0.48563550E-01  0.33775389E-14
    1    9    0.13114219E-14 -0.65877168E-14
    2    9    0.11697788E+01  0.16718619E-12
    3    9   -0.26699103E-13 -0.15603084E-13
    4    9   -0.65374765E+00 -0.72956653E-13
    5    9   -0.68774324E+00 -0.49210433E-13
    6    9    0.14747892E-01 -0.18110975E-13
    7    9   -0.35005371E-01 -0.14414336E-13
    8    9    0.14322255E+00  0.52383416E-14
    9    9   -0.28795817E+00  0.55194409E-13
   10    9   -0.10956629E+00 -0.37154641E-13
   11    9    0.33954593E-01  0.27774071E-13
    1   10   -0.56009181E+00 -0.70771035E-13
    2   10    0.14434269E-12 -0.33282265E-14
    3   10   -0.10615906E+01 -0.11760432E-12
    4   10   -0.26754590E-13  0.10993869E-13
    5   10   -0.31267321E-14  0.21065054E-14
    6   10   -0.10653211E+00 -0.88934839E-14
    7   10    0.96940256E-01  0.55086483E-14
    8   10    0.49394288E-01 -0.59516405E-14
    9   10   -0.25377297E-01 -0.68084105E-14
   10   10    0.23689824E+00 -0.40851701E-14
   11   10   -0.42872584E+00 -0.62846057E-14
    1   11   -0.91189695E-13 -0.21855193E-13
    2   11    0.16814109E+01  0.74515224E-13
    3   11   -0.69834675E-14 -0.34382927E-15
    4   11    0.68262835E+00  0.87918486E-14
    5   11   -0.56994087E+00 -0.14052435E-13
    6   11    0.10192694E+00 -0.45689993E-14
    7   11    0.34396458E-01 -0.75448783E-14
    8   11    0.48563550E-01  0.36164035E-14
    9   11   -0.11186440E+00  0.56110415E-13
   10   11   -0.62297523E+00  0.63487635E-14
   11   11    0.84409762E+00 -0.42565090E-15

    0    2    0
    1    1   -0.34661112E-01  0.21858067E-13
    2    1   -0.22876809E-01 -0.54243245E-14
    3    1    0.95111300E-15 -0.20598518E-15
    4    1    0.50669560E-15 -0.58028095E-15
    5    1   -0.13587312E-15 -0.63942262E-16
    6    1   -0.27053445E-02 -0.94263484E-14
    7    1   -0.13308944E-01 -0.21144819E-13
    8    1    0.11859558E-01 -0.20511896E-13
    9    1   -0.27053445E-02 -0.63543524E-14
   10    1    0.13308944E-01  0.21845387E-13
   11    1   -0.11859558E-01  0.20134735E-13
    1    2   -0.48186380E-02 -0.48990354E-14
    2    2   -0.18671083E-01 -0.13233340E-13
    3    2   -0.25543650E-15  0.32687271E-15
    4    2   -0.59867012E-15  0.61246677E-15
    5    2    0.13790785E-14 -0.28908999E-15
    6    2    0.36795824E-02  0.19327581E-13
    7    2    0.11149302E-02  0.17537364E-14
    8    2   -0.50873786E-03  0.13068462E-13
    9    2    0.36795824E-02  0.29612382E-13
   10    2   -0.11149302E-02 -0.73112406E-16
   11    2    0.50873786E-03  0.68353681E-15
    1    3    0.86470083E-16  0.10339664E-16
    2    3   -0.94046097E-16 -0.55090578E-15
    3    3    0.58937426E-01  0.51799594E-14
    4    3    0.41156906E-01 -0.91182954E-15
    5    3    0.18451370E-01  0.21350895E-13
    6    3    0.17183953E-01 -0.27486571E-13
    7    3   -0.12973464E-01 -0.51272524E-13
    8    3    0.61833355E-02  0.11546784E-13
    9    3   -0.17183953E-01  0.25330297E-13
   10    3   -0.12973464E-01 -0.51651834E-13
   11    3    0.61833355E-02  0.54116663E-14
    1    4    0.25516886E-15  0.40995382E-15
    2    4   -0.15560807E-15  0.91359391E-16
    3    4    0.63640385E-01 -0.11899144E-13
    4    4    0.13218712E-01 -0.13888654E-13
    5    4    0.10780788E-01  0.79575321E-14
    6    4    0.36068669E-02 -0.34687875E-14
    7    4   -0.27509185E-02 -0.17067602E-13
    8    4   -0.11206317E-01 -0.13963373E-13
    9    4   -0.36068669E-02  0.12778674E-14
   10    4   -0.27509185E-02 -0.17923553E-13
   11    4   -0.11206317E-01 -0.10647358E-13
    1    5    0.65947556E-15  0.47411636E-15
    2    5    0.11782660E-14  0.82048698E-16
    3    5    0.70328621E-01  0.20441683E-13
    4    5    0.49723315E-01  0.33817388E-14
    5    5    0.76805367E-02 -0.90031254E-15
    6    5    0.12047369E-01 -0.29956606E-14
    7    5    0.53860092E-02 -0.63648636E-14
    8    5   -0.73438144E-02  0.26173001E-13
    9    5   -0.12047369E-01 -0.52047349E-14
   10    5    0.53860092E-02 -0.63261786E-14
   11    5   -0.73438144E-02  0.16643592E-13
    1    6   -0.37354365E-01  0.26447608E-13
    2    6   -0.53463161E-01  0.65663787E-15
    3    6   -0.89974102E-01 -0.34215604E-14
    4    6   -0.62470696E-01 -0.53659303E-15
    5    6   -0.41079337E-01 -0.10530124E-13
    6    6    0.98975575E-03  0.11582688E-13
    7    6   -0.68191366E-02 -0.62561248E-14
    8    6   -0.71711748E-02  0.70572184E-14
    9    6    0.21312208E-02 -0.28336307E-14
   10    6    0.20611208E-01 -0.50269842E-14
   11    6   -0.45823190E-02  0.70048571E-14
    1    7    0.15374843E-01  0.13626239E-13
    2    7    0.67566704E-01 -0.16055390E-13
    3    7    0.20893880E-01  0.15533107E-13
    4    7    0.78402075E-02  0.16958633E-13
    5    7   -0.71763776E-02 -0.55904895E-14
    6    7   -0.96201238E-02 -0.32223808E-14
    7    7    0.11748497E-01 -0.82959743E-14
    8    7   -0.44707287E-01 -0.87615824E-15
    9    7   -0.63370005E-02  0.58269383E-14
   10    7   -0.81992711E-02 -0.84643885E-14
   11    7   -0.65394859E-02 -0.44952679E-15
    1    8   -0.58262517E-01 -0.93957134E-14
    2    8   -0.71838694E-01 -0.23116317E-13
    3    8    0.63354328E-01  0.15394039E-13
    4    8    0.47364548E-01 -0.22143793E-13
    5    8    0.47655759E-01 -0.58654700E-14
    6    8   -0.23197147E-02  0.20445697E-14
    7    8   -0.76242086E-01  0.63125068E-14
    8    8    0.81579013E-01  0.62996834E-15
    9    8   -0.20141121E-01 -0.55865520E-14
   10    8   -0.17208783E-02  0.74986953E-14
   11    8   -0.34298998E-02 -0.66628057E-15
    1    9   -0.37354365E-01  0.24383841E-13
    2    9   -0.53463161E-01 -0.78354207E-14
    3    9    0.89974102E-01  0.28846827E-14
    4    9    0.62470696E-01  0.93756492E-14
    5    9    0.41079337E-01  0.14936902E-13
    6    9    0.21312208E-02 -0.18870420E-14
    7    9   -0.20611208E-01  0.12014547E-14
    8    9    0.45823190E-02 -0.50715521E-14
    9    9    0.98975575E-03  0.78419858E-14
   10    9    0.68191366E-02  0.19351993E-14
   11    9    0.71711748E-02 -0.44625022E-14
    1   10   -0.15374843E-01 -0.15800896E-13
    2   10   -0.67566704E-01  0.13579387E-13
    3   10    0.20893880E-01  0.17593628E-13
    4   10    0.78402075E-02  0.16270193E-13
    5   10   -0.71763776E-02 -0.57040392E-14
    6   10    0.63370005E-02 -0.55756910E-14
    7   10   -0.81992711E-02 -0.87732082E-14
    8   10   -0.65394859E-02  0.19529476E-14
    9   10    0.96201238E-02  0.48182389E-14
   10   10    0.11748497E-01 -0.93026281E-14
   11   10   -0.44707287E-01  0.20380072E-14
    1   11    0.58262517E-01  0.99062170E-14
    2   11    0.71838694E-01  0.13652828E-13
    3   11    0.63354328E-01  0.16171519E-13
    4   11    0.47364548E-01 -0.19801733E-13
    5   11    0.47655759E-01 -0.63033673E-14
    6   11    0.20141121E-01  0.24780266E-14
    7   11   -0.17208783E-02  0.68971252E-14
    8   11   -0.34298998E-02 -0.13137199E-14
    9   11    0.23197147E-02  0.19642098E-14
   10   11   -0.76242086E-01  0.11504522E-13
   11   11    0.81579013E-01  0.17867979E-15

    0    3    0
    1    1   -0.12319715E-02  0.13882026E-14
    2    1   -0.16338617E-03 -0.11157736E-14
    3    1   -0.45128839E-15 -0.29132147E-15
    4    1   -0.71181905E-15  0.72749278E-15
    5    1    0.11010974E-14  0.30625094E-15
    6    1   -0.35932086E-02  0.11785216E-13
    7    1    0.23332040E-02 -0.60676322E-14
    8    1    0.26269977E-02  0.70766288E-15
    9    1   -0.35932086E-02  0.99265719E-14
   10    1   -0.23332040E-02  0.47993755E-14
   11    1   -0.26269977E-02 -0.56042316E-15
    1    2   -0.24293615E-02  0.43138063E-14
    2    2    0.26498948E-03 -0.50708898E-14
    3    2    0.45454216E-16 -0.50393199E-15
    4    2   -0.28685480E-15 -0.11374345E-15
    5    2    0.56897119E-15 -0.81352254E-16
    6    2    0.44263987E-03  0.19950378E-13
    7    2   -0.39752667E-02  0.96822641E-14
    8    2    0.86778924E-03  0.22194234E-13
    9    2    0.44263987E-03  0.24869949E-13
   10    2    0.39752667E-02 -0.77137072E-14
   11    2   -0.86778924E-03 -0.21101229E-13
    1    3    0.66828011E-15  0.40132548E-15
    2    3   -0.41721420E-15  0.22625901E-15
    3    3   -0.17077092E-01 -0.93301692E-14
    4    3   -0.57917064E-02  0.49860122E-14
    5    3   -0.63744629E-02  0.30148785E-14
    6    3   -0.38475240E-02  0.51778584E-14
    7    3    0.28912989E-02 -0.87137503E-14
    8    3   -0.15973521E-02  0.14224437E-14
    9    3    0.38475240E-02 -0.25990931E-14
   10    3    0.28912989E-02 -0.12417418E-13
   11    3   -0.15973521E-02  0.96591202E-16
    1    4    0.43404224E-15  0.63531745E-15
    2    4   -0.59503220E-15  0.46508604E-15
    3    4   -0.75645185E-02  0.67140437E-14
    4    4   -0.29938360E-02 -0.14511105E-13
    5    4   -0.23202338E-02 -0.19803154E-15
    6    4   -0.13999264E-02  0.35534949E-14
    7    4    0.33984896E-02  0.10223354E-13
    8    4    0.56225633E-03 -0.12447693E-13
    9    4    0.13999264E-02  0.57625238E-14
   10    4    0.33984896E-02  0.81636295E-14
   11    4    0.56225633E-03 -0.90219274E-14
    1    5    0.41892993E-15  0.70261037E-15
    2    5   -0.19727881E-15 -0.24727683E-15
    3    5   -0.21053172E-01  0.53192105E-15
    4    5   -0.53910401E-02 -0.29551291E-14
    5    5   -0.12417703E-02 -0.23023462E-14
    6    5   -0.53300795E-02  0.44916706E-16
    7    5    0.39517863E-02 -0.97843702E-14
    8    5   -0.25100040E-02  0.36027585E-13
    9    5    0.53300795E-02  0.10003345E-13
   10    5    0.39517863E-02 -0.16006728E-13
   11    5   -0.25100040E-02  0.28443675E-13
    1    6    0.18338832E-02 -0.57256425E-14
    2    6   -0.41826685E-02 -0.10815529E-13
    3    6    0.19025227E-01 -0.62821121E-14
    4    6    0.36067923E-02  0.10920372E-13
    5    6    0.88578889E-02 -0.81225729E-14
    6    6   -0.23971289E-02  0.22692802E-13
    7    6    0.15629975E-02  0.32349967E-14
    8    6   -0.18239170E-02 -0.17139106E-14
    9    6   -0.33464163E-02  0.40321124E-13
   10    6    0.22788404E-02 -0.14662242E-14
   11    6   -0.43088435E-02 -0.90812718E-15
    1    7    0.19094144E-02 -0.23812585E-13
    2    7    0.30733145E-02 -0.90529590E-14
    3    7   -0.37417266E-02 -0.14908823E-13
    4    7   -0.11080395E-01  0.20093562E-13
    5    7    0.85332820E-03  0.28255611E-14
    6    7   -0.79794643E-03  0.10673109E-14
    7    7    0.58041833E-02 -0.13090622E-13
    8    7   -0.83234978E-02  0.70409762E-14
    9    7    0.25920056E-02  0.15574784E-14
   10    7    0.36325050E-02 -0.14586524E-13
   11    7    0.24831476E-02  0.10255928E-14
    1    8   -0.76714194E-02  0.13768492E-13
    2    8   -0.15726941E-01  0.59119627E-14
    3    8    0.56007181E-04  0.23658435E-14
    4    8    0.32206238E-02  0.23143664E-14
    5    8   -0.16575755E-01  0.17475606E-13
    6    8    0.22654455E-02 -0.11290358E-14
    7    8   -0.16543370E-01 -0.38588735E-14
    8    8    0.20160825E-01  0.25048134E-14
    9    8   -0.41278508E-02  0.14444198E-14
   10    8    0.19149219E-02  0.16965023E-14
   11    8    0.10931505E-02  0.52834750E-14
    1    9    0.18338832E-02 -0.40364300E-14
    2    9   -0.41826685E-02 -0.14090497E-13
    3    9   -0.19025227E-01  0.66099028E-14
    4    9   -0.36067923E-02 -0.29517672E-14
    5    9   -0.88578889E-02 -0.35737755E-14
    6    9   -0.33464163E-02  0.40249099E-13
    7    9   -0.22788404E-02 -0.23656593E-14
    8    9    0.43088435E-02 -0.36007996E-14
    9    9   -0.23971289E-02  0.14574078E-13
   10    9   -0.15629975E-02 -0.37995262E-14
   11    9    0.18239170E-02 -0.18019114E-14
    1   10   -0.19094144E-02  0.21920811E-13
    2   10   -0.30733145E-02  0.80607843E-14
    3   10   -0.37417266E-02 -0.15131230E-13
    4   10   -0.11080395E-01  0.19927099E-13
    5   10    0.85332820E-03  0.95088598E-15
    6   10   -0.25920056E-02 -0.91820276E-15
    7   10    0.36325050E-02 -0.13397447E-13
    8   10    0.24831476E-02  0.31744723E-14
    9   10    0.79794643E-03 -0.26842425E-14
   10   10    0.58041833E-02 -0.13992551E-13
   11   10   -0.83234978E-02  0.94054262E-14
    1   11    0.76714194E-02 -0.12933931E-13
    2   11    0.15726941E-01 -0.19012312E-13
    3   11    0.56007181E-04  0.24664360E-14
    4   11    0.32206238E-02  0.65225435E-14
    5   11   -0.16575755E-01  0.14906628E-13
    6   11    0.41278508E-02  0.71921324E-15
    7   11    0.19149219E-02  0.38998173E-15
    8   11    0.10931505E-02  0.51446795E-14
    9   11   -0.22654455E-02 -0.25922819E-14
   10   11   -0.16543370E-01 -0.13690237E-14
   11   11    0.20160825E-01  0.14938425E-14

    0    4    0
    1    1   -0.13454076E-02 -0.10005721E-13
    2    1   -0.26268868E-02  0.31095676E-15
    3    1   -0.24748378E-15 -0.61394767E-15
    4    1    0.80646665E-15  0.56115187E-15
    5    1   -0.15304189E-15  0.33983739E-15
    6    1   -0.86481632E-03  0.41726538E-13
    7    1    0.68940493E-04  0.97492631E-14
    8    1    0.26497940E-03  0.34225365E-14
    9    1   -0.86481632E-03  0.37313300E-13
   10    1   -0.68940493E-04 -0.13056471E-13
   11    1   -0.26497940E-03 -0.22052763E-14
    1    2   -0.15940328E-02 -0.24181697E-14
    2    2    0.10916546E-02  0.13820942E-14
    3    2   -0.54523791E-15  0.41040536E-15
    4    2    0.46475001E-15 -0.13783297E-16
    5    2   -0.18595410E-15 -0.11834495E-14
    6    2    0.48281497E-03 -0.53635731E-13
    7    2   -0.13260243E-02  0.19042617E-13
    8    2    0.22742095E-03  0.24438610E-13
    9    2    0.48281497E-03 -0.60979824E-13
   10    2    0.13260243E-02 -0.17815454E-13
   11    2   -0.22742095E-03 -0.14236260E-13
    1    3    0.11841734E-15 -0.10728118E-15
    2    3   -0.38452596E-15 -0.31567253E-15
    3    3    0.31496650E-02  0.28028920E-13
    4    3    0.75105845E-03 -0.82180935E-14
    5    3    0.19645428E-02 -0.20976200E-13
    6    3    0.11032961E-02  0.12537941E-13
    7    3   -0.14538241E-02  0.49659719E-13
    8    3    0.40223904E-03  0.24745844E-14
    9    3   -0.11032961E-02 -0.12846254E-13
   10    3   -0.14538241E-02  0.40470133E-13
   11    3    0.40223904E-03  0.60146429E-14
    1    4    0.63411915E-15 -0.11529894E-14
    2    4    0.44727475E-15  0.56197677E-15
    3    4    0.10764356E-02 -0.23538462E-14
    4    4   -0.11969859E-02  0.18211696E-14
    5    4    0.24573395E-03 -0.33586519E-14
    6    4   -0.67259679E-03 -0.84644359E-14
    7    4   -0.57228114E-03 -0.85711002E-14
    8    4   -0.22790678E-03  0.77201850E-15
    9    4    0.67259679E-03  0.12643430E-13
   10    4   -0.57228114E-03 -0.73648117E-14
   11    4   -0.22790678E-03 -0.24694474E-14
    1    5   -0.12763197E-15 -0.74867292E-15
    2    5    0.12045987E-14 -0.32873011E-15
    3    5    0.34327792E-02 -0.26516601E-13
    4    5    0.80929425E-03  0.35423382E-15
    5    5    0.33477958E-04  0.73510590E-14
    6    5    0.60209720E-03 -0.96347950E-14
    7    5   -0.88462630E-03 -0.10429724E-14
    8    5   -0.23215971E-04  0.20099596E-13
    9    5   -0.60209720E-03  0.87635557E-14
   10    5   -0.88462630E-03 -0.53916679E-15
   11    5   -0.23215971E-04  0.19997917E-13
    1    6   -0.14132503E-02  0.67871665E-14
    2    6   -0.33330523E-02  0.29244614E-14
    3    6   -0.65397616E-02  0.16458138E-13
    4    6   -0.13998526E-02 -0.17773670E-13
    5    6   -0.66719305E-03 -0.51268482E-14
